Bothell East,47.80631,-122.18427,8018,C
Bothell West,47.80527,-122.24064,16607,C
Bothell,47.76232,-122.2054,42939,C
Boulevard Park,47.48927,-122.31512,5287,C
Bremerton,47.56732,-122.63264,39520,C
Brier,47.78454,-122.27429,6656,C
Brookings,42.05261,-124.28398,6476,B
Bryn Mawr-Skyway,47.4943,-122.24092,15645,C
Burien,47.47038,-122.34679,50467,C
Burlington,48.47566,-122.32544,8633,C
Burnaby,49.26636,-122.95263,202799,C
Caldwell,43.66294,-116.68736,51686,C
Camano,48.17399,-122.52821,14202,C
Camas,45.58706,-122.39954,21846,C
Canby,45.2629,-122.69259,17271,C
Castlegar,49.29984,-117.66894,8715,C
Cedar Hills,45.50484,-122.79843,8300,C
Cedar Mill,45.52484,-122.81093,14546,C
Central Point,42.37596,-122.91643,17995,C
Centralia,46.71621,-122.9543,16753,C
Chehalis,46.66205,-122.96402,7391,C
Cheney,47.48739,-117.57576,11534,C
Chilliwack,49.16638,-121.95257,77000,C
City of Sammamish,47.60444,-122.03768,45780,C
Clackamas,45.40762,-122.57037,6767,C
Clarkston Heights-Vineland,46.38742,-117.083,6326,C
Clarkston,46.41629,-117.04557,7317,C
Coeur d'Alene,47.67768,-116.78047,49122,B
College Place,46.0493,-118.3883,9062,C
Colville,48.544,-117.901,10000,B
Colwood,48.43293,-123.48591,14687,C
Connell,46.66347,-118.86111,5446,C
Coos Bay,43.3665,-124.21789,16182,B
Coquitlam,49.2846,-122.78217,140000,C
Cornelius,45.51984,-123.05983,12317,C
Corvallis,44.56457,-123.26204,55780,B
Cottage Grove,43.79762,-123.05952,9969,C
Cottage Lake,47.74427,-122.07735,22494,C
Country Homes,47.7485,-117.40439,5841,C
Covington,47.35818,-122.12216,19197,C
Cranbrook,49.49991,-115.76879,18610,C
Creswell,43.9179,-123.02453,5199,C
Dallas,44.91928,-123.31705,15277,C
Damascus,45.41762,-122.45898,10952,C
Delta,49.14399,-122.9068,101668,C
Des Moines,47.40177,-122.32429,31221,C
Deschutes River Woods,43.99151,-121.35836,5077,C
Dishman,47.66007,-117.27596,9978,C
DuPont,47.09676,-122.63124,9356,C
Duncan,48.78293,-123.70266,22199,C
Duvall,47.74232,-121.98568,7674,C
Eagle Point,42.47263,-122.80282,8902,C
Eagle,43.69544,-116.35401,23612,C
East Hill-Meridian,47.41052,-122.17369,29878,C
East Port Orchard,47.52343,-122.6243,5919,C
East Renton Highlands,47.48482,-122.11234,11140,C
East Wenatchee Bench,47.42568,-120.28118,8856,C
East Wenatchee,47.41568,-120.29313,13659,C
Eastmont,47.8974,-122.18154,20101,C
Edgewood,47.2501,-122.29373,9826,C
Edmonds,47.81065,-122.37736,41375,C
Elk Plain,47.05316,-122.39762,14205,C
Ellensburg,46.99651,-120.54785,19001,C
Emmett,43.8735,-116.4993,6604,C
Enumclaw,47.20427,-121.9915,11609,C
Ephrata,47.31764,-119.55365,8047,C
Eugene,44.05207,-123.08675,163460,B
Everett,47.97898,-122.20208,108010,B
Fairview,45.53845,-122.43398,9280,C
Fairwood,47.44843,-122.15734,19102,C
Fairwood,47.76684,-117.41744,7905,C
Federal Way,47.32232,-122.31262,95171,C
Felida,45.70956,-122.70732,7385,C
Ferndale,48.8465,-122.59101,13010,C
